index,tag,name,B,H,W,C,P,Q,F,S,input_dtype,output_dtype,mean_microseconds,arithmetic_intensity,tflops,ok
90,resnet_sweep,conv_2d_nhwc_hwcf_q_2x28x28x128x3x3x128_i8xi8xi32_stride2,2,28,28,128,3,3,128,2,i8,i32,107.0,255.2764,4.3217,True
91,resnet_sweep,conv_2d_nhwc_hwcf_q_2x28x28x512x1x1x256_i8xi8xi32_stride2,2,28,28,512,1,1,256,2,i8,i32,71.0,83.0728,5.7893,True
92,resnet_sweep,conv_2d_nhwc_hwcf_q_2x28x28x128x3x3x128_i8xi8xi32_stride1,2,28,28,128,3,3,128,1,i8,i32,109.0,391.66,4.2424,True
93,resnet_sweep,conv_2d_nhwc_hwcf_q_2x14x14x256x3x3x256_i8xi8xi32_stride2,2,14,14,256,3,3,256,2,i8,i32,170.0,318.4654,2.7201,True
94,resnet_sweep,conv_2d_nhwc_hwcf_q_2x14x14x1024x1x1x512_i8xi8xi32_stride2,2,14,14,1024,1,1,512,2,i8,i32,84.0,140.1564,4.8934,True
95,resnet_sweep,conv_2d_nhwc_hwcf_q_2x14x14x256x3x3x256_i8xi8xi32_stride1,2,14,14,256,3,3,256,1,i8,i32,170.0,412.0292,2.7201,True
96,resnet_sweep,conv_2d_nhwc_hwcf_q_2x7x7x512x3x3x512_i8xi8xi32_stride2,2,7,7,512,3,3,512,2,i8,i32,276.0,163.8549,1.6754,True
97,resnet_sweep,conv_2d_nhwc_hwcf_q_2x7x7x2048x1x1x1024_i8xi8xi32_stride2,2,7,7,2048,1,1,1024,2,i8,i32,135.0,124.5062,3.0448,True
98,resnet_sweep,conv_2d_nhwc_hwcf_q_2x7x7x512x3x3x512_i8xi8xi32_stride1,2,7,7,512,3,3,512,1,i8,i32,277.0,174.9647,1.6694,True
99,resnet_sweep,conv_2d_nhwc_hwcf_q_4x112x112x64x7x7x3_i8xi8xi32_stride2,4,112,112,64,7,7,3,2,i8,i32,1170.0,66.7032,0.8069,True
100,resnet_sweep,conv_2d_nhwc_hwcf_q_4x56x56x64x3x3x64_i8xi8xi32_stride1,4,56,56,64,3,3,64,1,i8,i32,78.0,225.0606,11.857,True
101,resnet_sweep,conv_2d_nhwc_hwcf_q_4x28x28x128x3x3x128_i8xi8xi32_stride2,4,28,28,128,3,3,128,2,i8,i32,110.0,266.1072,8.4077,True
102,resnet_sweep,conv_2d_nhwc_hwcf_q_4x28x28x512x1x1x256_i8xi8xi32_stride2,4,28,28,512,1,1,256,2,i8,i32,74.0,84.1879,11.1092,True
103,resnet_sweep,conv_2d_nhwc_hwcf_q_4x28x28x128x3x3x128_i8xi8xi32_stride1,4,28,28,128,3,3,128,1,i8,i32,112.0,417.7465,8.2575,True
104,resnet_sweep,conv_2d_nhwc_hwcf_q_4x14x14x256x3x3x256_i8xi8xi32_stride2,4,14,14,256,3,3,256,2,i8,i32,170.0,399.6319,5.4403,True
105,resnet_sweep,conv_2d_nhwc_hwcf_q_4x14x14x1024x1x1x512_i8xi8xi32_stride2,4,14,14,1024,1,1,512,2,i8,i32,99.0,153.9141,8.3039,True
106,resnet_sweep,conv_2d_nhwc_hwcf_q_4x14x14x256x3x3x256_i8xi8xi32_stride1,4,14,14,256,3,3,256,1,i8,i32,172.0,558.8911,5.377,True
107,resnet_sweep,conv_2d_nhwc_hwcf_q_4x7x7x512x3x3x512_i8xi8xi32_stride2,4,7,7,512,3,3,512,2,i8,i32,277.0,281.5362,3.3388,True
108,resnet_sweep,conv_2d_nhwc_hwcf_q_4x7x7x2048x1x1x1024_i8xi8xi32_stride2,4,7,7,2048,1,1,1024,2,i8,i32,135.0,182.4582,6.0895,True
109,resnet_sweep,conv_2d_nhwc_hwcf_q_4x7x7x512x3x3x512_i8xi8xi32_stride1,4,7,7,512,3,3,512,1,i8,i32,271.0,316.014,3.4127,True
110,resnet_sweep,conv_2d_nhwc_hwcf_q_8x112x112x64x7x7x3_i8xi8xi32_stride2,8,112,112,64,7,7,3,2,i8,i32,2340.0,66.7254,0.8069,True
111,resnet_sweep,conv_2d_nhwc_hwcf_q_8x56x56x64x3x3x64_i8xi8xi32_stride1,8,56,56,64,3,3,64,1,i8,i32,98.0,226.0746,18.8744,True
112,resnet_sweep,conv_2d_nhwc_hwcf_q_8x28x28x128x3x3x128_i8xi8xi32_stride2,8,28,28,128,3,3,128,2,i8,i32,115.0,271.8748,16.0842,True
113,resnet_sweep,conv_2d_nhwc_hwcf_q_8x28x28x512x1x1x256_i8xi8xi32_stride2,8,28,28,512,1,1,256,2,i8,i32,85.0,84.7568,19.3431,True
