index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
71,llm_sweep,attention_64x1024x128x128x1024xf16,64,1024,128,128,1024,f16,148.4553,512.0,231.4484,True
72,llm_sweep,attention_64x2048x64x64x2048xf16,64,2048,64,64,2048,f16,227.1334,1024.0,302.5511,True
73,llm_sweep,attention_64x2048x128x128x2048xf16,64,2048,128,128,2048,f16,495.1159,1024.0,277.5894,True
74,llm_sweep,attention_64x4096x64x64x4096xf16,64,4096,64,64,4096,f16,827.5509,2048.0,332.1583,True
75,llm_sweep,attention_64x4096x128x128x4096xf16,64,4096,128,128,4096,f16,1618.2264,2048.0,339.7274,True
76,llm_sweep,attention_64x8192x64x64x8192xf16,64,8192,64,64,8192,f16,2815.9618,4096.0,390.4569,True
77,llm_sweep,attention_64x8192x128x128x8192xf16,64,8192,128,128,8192,f16,5626.1222,4096.0,390.8595,True
78,llm_sweep,attention_64x16384x64x64x16384xf16,64,16384,64,64,16384,f16,11282.9208,8192.0,389.7968,True
79,llm_sweep,attention_64x16384x128x128x16384xf16,64,16384,128,128,16384,f16,19945.3036,8192.0,441.0107,True
80,llm_sweep,attention_96x1024x64x64x1024xf16,96,1024,64,64,1024,f16,139.3159,512.0,184.9739,True
81,llm_sweep,attention_96x1024x128x128x1024xf16,96,1024,128,128,1024,f16,215.6099,512.0,239.041,True
82,llm_sweep,attention_96x2048x64x64x2048xf16,96,2048,64,64,2048,f16,353.0184,1024.0,291.9939,True
83,llm_sweep,attention_96x2048x128x128x2048xf16,96,2048,128,128,2048,f16,716.6862,1024.0,287.6551,True
84,llm_sweep,attention_96x4096x64x64x4096xf16,96,4096,64,64,4096,f16,1238.4256,2048.0,332.9363,True
85,llm_sweep,attention_96x4096x128x128x4096xf16,96,4096,128,128,4096,f16,2762.4766,2048.0,298.5125,True
86,llm_sweep,attention_96x8192x64x64x8192xf16,96,8192,64,64,8192,f16,4830.6783,4096.0,341.4153,True
87,llm_sweep,attention_96x8192x128x128x8192xf16,96,8192,128,128,8192,f16,8645.455,4096.0,381.534,True
88,llm_sweep,attention_96x16384x64x64x16384xf16,96,16384,64,64,16384,f16,17812.1726,8192.0,370.3686,True
89,llm_sweep,attention_96x16384x128x128x16384xf16,96,16384,128,128,16384,f16,30454.4767,8192.0,433.2414,True
90,llm_sweep,attention_128x1024x64x64x1024xf16,128,1024,64,64,1024,f16,206.1526,512.0,166.6714,True
91,llm_sweep,attention_128x1024x128x128x1024xf16,128,1024,128,128,1024,f16,355.0053,512.0,193.5731,True
92,llm_sweep,attention_128x2048x64x64x2048xf16,128,2048,64,64,2048,f16,518.4015,1024.0,265.1207,True
93,llm_sweep,attention_128x2048x128x128x2048xf16,128,2048,128,128,2048,f16,1074.8704,1024.0,255.7312,True
94,llm_sweep,attention_128x4096x64x64x4096xf16,128,4096,64,64,4096,f16,1925.389,2048.0,285.5297,True
95,llm_sweep,attention_128x4096x128x128x4096xf16,128,4096,128,128,4096,f16,3667.5135,2048.0,299.7976,True
96,llm_sweep,attention_128x8192x64x64x8192xf16,128,8192,64,64,8192,f16,6121.7149,4096.0,359.2169,True
97,llm_sweep,attention_128x8192x128x128x8192xf16,128,8192,128,128,8192,f16,11153.4595,4096.0,394.3213,True
98,llm_sweep,attention_128x16384x64x64x16384xf16,128,16384,64,64,16384,f16,22806.2471,8192.0,385.6879,True
99,llm_sweep,attention_128x16384x128x128x16384xf16,128,16384,128,128,16384,f16,40872.097,8192.0,430.4204,True
100,llm_sweep,attention_192x1024x64x64x1024xf16,192,1024,64,64,1024,f16,320.9909,512.0,160.5641,True
101,llm_sweep,attention_192x1024x128x128x1024xf16,192,1024,128,128,1024,f16,545.0249,512.0,189.1275,True
102,llm_sweep,attention_192x2048x64x64x2048xf16,192,2048,64,64,2048,f16,742.5149,1024.0,277.6489,True
103,llm_sweep,attention_192x2048x128x128x2048xf16,192,2048,128,128,2048,f16,1569.9863,1024.0,262.6245,True
104,llm_sweep,attention_192x4096x64x64x4096xf16,192,4096,64,64,4096,f16,2719.7202,2048.0,303.2054,True
105,llm_sweep,attention_192x4096x128x128x4096xf16,192,4096,128,128,4096,f16,5398.9887,2048.0,305.4771,True
106,llm_sweep,attention_192x8192x64x64x8192xf16,192,8192,64,64,8192,f16,9137.7099,4096.0,360.9805,True
107,llm_sweep,attention_192x8192x128x128x8192xf16,192,8192,128,128,8192,f16,15579.2236,4096.0,423.4531,True
108,llm_sweep,attention_192x16384x64x64x16384xf16,192,16384,64,64,16384,f16,34531.196,8192.0,382.0933,True
109,llm_sweep,attention_192x16384x128x128x16384xf16,192,16384,128,128,16384,f16,59913.4763,8192.0,440.4398,True
220,sdxl_unet_sweep,attention_1x4096x64x64x64xf16,1,4096,64,64,64,f16,60.161,63.0154,0.0174,True
221,sdxl_unet_sweep,attention_2x1024x64x64x64xf16,2,1024,64,64,64,f16,56.982,60.2353,0.0368,True
222,sdxl_unet_sweep,attention_4x4096x64x64x64xf16,4,4096,64,64,64,f16,54.9952,63.0154,0.0763,True
223,sdxl_unet_sweep,attention_8x1024x64x64x64xf16,8,1024,64,64,64,f16,58.9689,60.2353,0.1423,True
224,sdxl_unet_sweep,attention_20x4096x64x64x4096xf16,20,4096,64,64,4096,f16,415.1662,2048.0,206.9035,True
225,sdxl_unet_sweep,attention_20x4096x64x64x64xf16,20,4096,64,64,64,f16,55.7899,63.0154,0.3759,True
226,sdxl_unet_sweep,attention_40x1024x64x64x1024xf16,40,1024,64,64,1024,f16,107.6857,512.0,99.7107,True
227,sdxl_unet_sweep,attention_40x1024x64x64x64xf16,40,1024,64,64,64,f16,55.4721,60.2353,0.7561,True
236,bert_attn_sweep,attention_12x384x64x64x384xf16,12,384,64,64,384,f16,57.8562,192.0,7.8295,True
237,bert_attn_sweep,attention_768x4096x64x64x64xf16,768,4096,64,64,64,f16,56.982,63.0154,14.1326,True
