index,tag,name,B,M,N,K1,K2,dtype,mean_microseconds,arithmetic_intensity,tflops,ok
100,llm_sweep,attention_192x1024x64x64x1024xf16,192,1024,64,64,1024,f16,226.0,512.0,228.0514,True
101,llm_sweep,attention_192x1024x128x128x1024xf16,192,1024,128,128,1024,f16,429.0,512.0,240.2779,True
102,llm_sweep,attention_192x2048x64x64x2048xf16,192,2048,64,64,2048,f16,716.0,1024.0,287.9308,True
103,llm_sweep,attention_192x2048x128x128x2048xf16,192,2048,128,128,2048,f16,1520.0,1024.0,271.2611,True
104,llm_sweep,attention_192x4096x64x64x4096xf16,192,4096,64,64,4096,f16,2650.0,2048.0,311.1825,True
105,llm_sweep,attention_192x4096x128x128x4096xf16,192,4096,128,128,4096,f16,5260.0,2048.0,313.5489,True
106,llm_sweep,attention_192x8192x64x64x8192xf16,192,8192,64,64,8192,f16,9550.0,4096.0,345.3963,True
107,llm_sweep,attention_192x8192x128x128x8192xf16,192,8192,128,128,8192,f16,19700.0,4096.0,334.8766,True
108,llm_sweep,attention_192x16384x64x64x16384xf16,192,16384,64,64,16384,f16,36700.0,8192.0,359.5133,True
109,llm_sweep,attention_192x16384x128x128x16384xf16,192,16384,128,128,16384,f16,75100.0,8192.0,351.3752,True
110,llm_sweep,attention_1x1024x64x64x1024xf8E4M3FNUZ,1,1024,64,64,1024,f8E4M3FNUZ,93.0,1024.0,2.8864,True
111,llm_sweep,attention_1x1024x128x128x1024xf8E4M3FNUZ,1,1024,128,128,1024,f8E4M3FNUZ,92.0,1024.0,5.8356,True
112,llm_sweep,attention_1x2048x64x64x2048xf8E4M3FNUZ,1,2048,64,64,2048,f8E4M3FNUZ,138.0,2048.0,7.7807,True
113,llm_sweep,attention_1x2048x128x128x2048xf8E4M3FNUZ,1,2048,128,128,2048,f8E4M3FNUZ,145.0,2048.0,14.8102,True
114,sdxl_unet_sweep,attention_1x4096x64x64x4096xf8E4M3FNUZ,1,4096,64,64,4096,f8E4M3FNUZ,216.0,4096.0,19.8841,True
115,llm_sweep,attention_1x4096x128x128x4096xf8E4M3FNUZ,1,4096,128,128,4096,f8E4M3FNUZ,213.0,4096.0,40.3283,True
116,llm_sweep,attention_1x8192x64x64x8192xf8E4M3FNUZ,1,8192,64,64,8192,f8E4M3FNUZ,383.0,8192.0,44.8561,True
117,llm_sweep,attention_1x8192x128x128x8192xf8E4M3FNUZ,1,8192,128,128,8192,f8E4M3FNUZ,391.0,8192.0,87.8766,True
118,llm_sweep,attention_1x16384x64x64x16384xf8E4M3FNUZ,1,16384,64,64,16384,f8E4M3FNUZ,708.0,16384.0,97.0614,True
119,llm_sweep,attention_1x16384x128x128x16384xf8E4M3FNUZ,1,16384,128,128,16384,f8E4M3FNUZ,1440.0,16384.0,95.4437,True
120,sdxl_unet_sweep,attention_2x1024x64x64x1024xf8E4M3FNUZ,2,1024,64,64,1024,f8E4M3FNUZ,94.0,1024.0,5.7114,True
121,llm_sweep,attention_2x1024x128x128x1024xf8E4M3FNUZ,2,1024,128,128,1024,f8E4M3FNUZ,92.0,1024.0,11.6711,True
122,llm_sweep,attention_2x2048x64x64x2048xf8E4M3FNUZ,2,2048,64,64,2048,f8E4M3FNUZ,137.0,2048.0,15.6751,True
123,llm_sweep,attention_2x2048x128x128x2048xf8E4M3FNUZ,2,2048,128,128,2048,f8E4M3FNUZ,136.0,2048.0,31.5806,True
124,llm_sweep,attention_2x4096x64x64x4096xf8E4M3FNUZ,2,4096,64,64,4096,f8E4M3FNUZ,212.0,4096.0,40.5186,True
125,llm_sweep,attention_2x4096x128x128x4096xf8E4M3FNUZ,2,4096,128,128,4096,f8E4M3FNUZ,212.0,4096.0,81.0371,True
126,llm_sweep,attention_2x8192x64x64x8192xf8E4M3FNUZ,2,8192,64,64,8192,f8E4M3FNUZ,388.0,8192.0,88.556,True
127,llm_sweep,attention_2x8192x128x128x8192xf8E4M3FNUZ,2,8192,128,128,8192,f8E4M3FNUZ,700.0,8192.0,98.1707,True
128,llm_sweep,attention_2x16384x64x64x16384xf8E4M3FNUZ,2,16384,64,64,16384,f8E4M3FNUZ,789.0,16384.0,174.1939,True
129,llm_sweep,attention_2x16384x128x128x16384xf8E4M3FNUZ,2,16384,128,128,16384,f8E4M3FNUZ,2740.0,16384.0,100.3204,True
130,llm_sweep,attention_4x1024x64x64x1024xf8E4M3FNUZ,4,1024,64,64,1024,f8E4M3FNUZ,95.0,1024.0,11.3025,True
131,llm_sweep,attention_4x1024x128x128x1024xf8E4M3FNUZ,4,1024,128,128,1024,f8E4M3FNUZ,96.0,1024.0,22.3696,True
132,llm_sweep,attention_4x2048x64x64x2048xf8E4M3FNUZ,4,2048,64,64,2048,f8E4M3FNUZ,139.0,2048.0,30.899,True
133,llm_sweep,attention_4x2048x128x128x2048xf8E4M3FNUZ,4,2048,128,128,2048,f8E4M3FNUZ,134.0,2048.0,64.104,True
134,sdxl_unet_sweep,attention_4x4096x64x64x4096xf8E4M3FNUZ,4,4096,64,64,4096,f8E4M3FNUZ,216.0,4096.0,79.5364,True
135,llm_sweep,attention_4x4096x128x128x4096xf8E4M3FNUZ,4,4096,128,128,4096,f8E4M3FNUZ,391.0,4096.0,87.8766,True
136,llm_sweep,attention_4x8192x64x64x8192xf8E4M3FNUZ,4,8192,64,64,8192,f8E4M3FNUZ,433.0,8192.0,158.7055,True
137,llm_sweep,attention_4x8192x128x128x8192xf8E4M3FNUZ,4,8192,128,128,8192,f8E4M3FNUZ,1390.0,8192.0,98.8769,True
138,llm_sweep,attention_4x16384x64x64x16384xf8E4M3FNUZ,4,16384,64,64,16384,f8E4M3FNUZ,1580.0,16384.0,173.9734,True
139,llm_sweep,attention_4x16384x128x128x16384xf8E4M3FNUZ,4,16384,128,128,16384,f8E4M3FNUZ,4690.0,16384.0,117.2187,True
140,sdxl_unet_sweep,attention_8x1024x64x64x1024xf8E4M3FNUZ,8,1024,64,64,1024,f8E4M3FNUZ,89.0,1024.0,24.129,True
141,llm_sweep,attention_8x1024x128x128x1024xf8E4M3FNUZ,8,1024,128,128,1024,f8E4M3FNUZ,94.0,1024.0,45.6911,True
142,llm_sweep,attention_8x2048x64x64x2048xf8E4M3FNUZ,8,2048,64,64,2048,f8E4M3FNUZ,137.0,2048.0,62.7003,True
143,llm_sweep,attention_8x2048x128x128x2048xf8E4M3FNUZ,8,2048,128,128,2048,f8E4M3FNUZ,220.0,2048.0,78.0903,True
144,llm_sweep,attention_8x4096x64x64x4096xf8E4M3FNUZ,8,4096,64,64,4096,f8E4M3FNUZ,241.0,4096.0,142.5715,True
145,llm_sweep,attention_8x4096x128x128x4096xf8E4M3FNUZ,8,4096,128,128,4096,f8E4M3FNUZ,704.0,4096.0,97.6129,True
146,llm_sweep,attention_8x8192x64x64x8192xf8E4M3FNUZ,8,8192,64,64,8192,f8E4M3FNUZ,794.0,8192.0,173.0969,True
147,llm_sweep,attention_8x8192x128x128x8192xf8E4M3FNUZ,8,8192,128,128,8192,f8E4M3FNUZ,2410.0,8192.0,114.0572,True
148,llm_sweep,attention_8x16384x64x64x16384xf8E4M3FNUZ,8,16384,64,64,16384,f8E4M3FNUZ,3050.0,16384.0,180.2478,True
149,llm_sweep,attention_8x16384x128x128x16384xf8E4M3FNUZ,8,16384,128,128,16384,f8E4M3FNUZ,9200.0,16384.0,119.5121,True
150,llm_sweep,attention_16x1024x64x64x1024xf8E4M3FNUZ,16,1024,64,64,1024,f8E4M3FNUZ,98.0,1024.0,43.8262,True
151,llm_sweep,attention_16x1024x128x128x1024xf8E4M3FNUZ,16,1024,128,128,1024,f8E4M3FNUZ,137.0,1024.0,62.7003,True
152,llm_sweep,attention_16x2048x64x64x2048xf8E4M3FNUZ,16,2048,64,64,2048,f8E4M3FNUZ,149.0,2048.0,115.3011,True
153,llm_sweep,attention_16x2048x128x128x2048xf8E4M3FNUZ,16,2048,128,128,2048,f8E4M3FNUZ,392.0,2048.0,87.6524,True
154,llm_sweep,attention_16x4096x64x64x4096xf8E4M3FNUZ,16,4096,64,64,4096,f8E4M3FNUZ,434.0,4096.0,158.3398,True
155,llm_sweep,attention_16x4096x128x128x4096xf8E4M3FNUZ,16,4096,128,128,4096,f8E4M3FNUZ,1180.0,4096.0,116.4737,True
156,llm_sweep,attention_16x8192x64x64x8192xf8E4M3FNUZ,16,8192,64,64,8192,f8E4M3FNUZ,1570.0,8192.0,175.0815,True
157,llm_sweep,attention_16x8192x128x128x8192xf8E4M3FNUZ,16,8192,128,128,8192,f8E4M3FNUZ,4650.0,8192.0,118.2271,True
158,llm_sweep,attention_16x16384x64x64x16384xf8E4M3FNUZ,16,16384,64,64,16384,f8E4M3FNUZ,5230.0,16384.0,210.2317,True
159,llm_sweep,attention_16x16384x128x128x16384xf8E4M3FNUZ,16,16384,128,128,16384,f8E4M3FNUZ,17600.0,16384.0,124.9445,True
160,llm_sweep,attention_32x1024x64x64x1024xf8E4M3FNUZ,32,1024,64,64,1024,f8E4M3FNUZ,105.0,1024.0,81.8089,True
161,llm_sweep,attention_32x1024x128x128x1024xf8E4M3FNUZ,32,1024,128,128,1024,f8E4M3FNUZ,215.0,1024.0,79.9064,True
162,llm_sweep,attention_32x2048x64x64x2048xf8E4M3FNUZ,32,2048,64,64,2048,f8E4M3FNUZ,243.0,2048.0,141.3981,True
163,llm_sweep,attention_32x2048x128x128x2048xf8E4M3FNUZ,32,2048,128,128,2048,f8E4M3FNUZ,628.0,2048.0,109.4259,True
164,llm_sweep,attention_32x4096x64x64x4096xf8E4M3FNUZ,32,4096,64,64,4096,f8E4M3FNUZ,789.0,4096.0,174.1939,True
165,llm_sweep,attention_32x4096x128x128x4096xf8E4M3FNUZ,32,4096,128,128,4096,f8E4M3FNUZ,2370.0,4096.0,115.9822,True
166,llm_sweep,attention_32x8192x64x64x8192xf8E4M3FNUZ,32,8192,64,64,8192,f8E4M3FNUZ,2700.0,8192.0,203.6133,True
167,llm_sweep,attention_32x8192x128x128x8192xf8E4M3FNUZ,32,8192,128,128,8192,f8E4M3FNUZ,8860.0,8192.0,124.0984,True
