mean_microseconds,tflops,index,tag,name,B,M,N,K1,K2,arithmetic_intensity,dtype,ok
7706.10237121582,428.0419237160456,106,llm,attention_192x8192x64x64x8192xf16,192,8192,64,64,8192,4096.0,fp16,True
13909.049987792969,474.3005289682474,107,llm,attention_192x8192x128x128x8192xf16,192,8192,128,128,8192,4096.0,fp16,True
30112.707138061523,438.15853130770233,108,llm,attention_192x16384x64x64x16384xf16,192,16384,64,64,16384,8192.0,fp16,True
54536.651611328125,483.8632055133861,109,llm,attention_192x16384x128x128x16384xf16,192,16384,128,128,16384,8192.0,fp16,True
36.946460604667664,7.265525617522534,110,llm,attention_1x1024x64x64x1024xf8E4M3FNUZ,1,1024,64,64,1024,1024.0,fp8,True
43.33698749542236,12.388284073892054,111,llm,attention_1x1024x128x128x1024xf8E4M3FNUZ,1,1024,128,128,1024,1024.0,fp8,True
63.060157001018524,17.027262142443718,112,llm,attention_1x2048x64x64x2048xf8E4M3FNUZ,1,2048,64,64,2048,2048.0,fp8,True
73.35200160741806,29.276415107162194,113,llm,attention_1x2048x128x128x2048xf8E4M3FNUZ,1,2048,128,128,2048,2048.0,fp8,True
112.3424842953682,38.231015834648744,114,sdxl_unet,attention_1x4096x64x64x4096xf8E4M3FNUZ,1,4096,64,64,4096,4096.0,fp8,True
132.22461938858032,64.96471407307281,115,llm,attention_1x4096x128x128x4096xf8E4M3FNUZ,1,4096,128,128,4096,4096.0,fp8,True
211.4991545677185,81.2290206034809,116,llm,attention_1x8192x64x64x8192xf8E4M3FNUZ,1,8192,64,64,8192,8192.0,fp8,True
248.15799295902252,138.45912419864592,117,llm,attention_1x8192x128x128x8192xf8E4M3FNUZ,1,8192,128,128,8192,8192.0,fp8,True
420.9422767162323,163.25154430217876,118,llm,attention_1x16384x64x64x16384xf8E4M3FNUZ,1,16384,64,64,16384,16384.0,fp8,True
494.8650002479553,277.7301959183521,119,llm,attention_1x16384x128x128x16384xf8E4M3FNUZ,1,16384,128,128,16384,16384.0,fp8,True
37.180859595537186,14.43944324688073,120,sdxl_unet,attention_2x1024x64x64x1024xf8E4M3FNUZ,2,1024,64,64,1024,1024.0,fp8,True
43.71270909905434,24.563607383995993,121,llm,attention_2x1024x128x128x1024xf8E4M3FNUZ,2,1024,128,128,1024,1024.0,fp8,True
62.61070817708969,34.29898352093389,122,llm,attention_2x2048x64x64x2048xf8E4M3FNUZ,2,2048,64,64,2048,2048.0,fp8,True
73.81177693605423,58.18810323074708,123,llm,attention_2x2048x128x128x2048xf8E4M3FNUZ,2,2048,128,128,2048,2048.0,fp8,True
113.15736919641495,75.91140243893321,124,llm,attention_2x4096x64x64x4096xf8E4M3FNUZ,2,4096,64,64,4096,4096.0,fp8,True
132.70168006420135,129.46233367722505,125,llm,attention_2x4096x128x128x4096xf8E4M3FNUZ,2,4096,128,128,4096,4096.0,fp8,True
