index,tag,name,M,N,K,dtype,A,B,mean_microseconds,arithmetic_intensity,tflops,ok
229,llama13bskinnybf16,hipblaslt,7680,4,5120,bf16,T,N,26.9515,3.9947984395318596,11.671810474370629,True
230,llama70bmatvecbf16,hipblaslt,57344,1,8192,bf16,T,N,278.43154,0.9998605105314549,3.3743450759924682,True
231,llama70bmatvec,hipblaslt,8192,1,1024,fp16,T,N,6.42324,0.9989025728569687,2.6119553371818585,True
232,llama13bskinnybf16,hipblaslt,32000,8,5120,bf16,T,N,115.20281,7.985526233701417,22.755000507366095,True
233,llama70bskinnybf16,hipblaslt,8192,2,3584,bf16,T,N,13.92692,1.9983969332636349,8.432626309334728,True
234,llama70bskinny,hipblaslt,10240,8,8192,fp16,T,N,48.38209,7.985962175862741,27.741200927864007,True
235,llama13bskinny,hipblaslt,16000,16,5120,fp16,T,N,33.32725,15.934271131582223,78.65755500378819,True
236,unet,hipblaslt,2048,1280,5120,bf16,N,T,78.08811,682.6666666666666,343.759704262275,True
237,llama13bskinnybf16,hipblaslt,13824,32,5120,bf16,T,N,42.63561,31.728253385356897,106.24565521637898,True
238,compute,hipblaslt,4096,4096,8192,bf16,T,N,348.63603,1638.4,788.4380364932448,True
239,llama13bskinnybf16,hipblaslt,1920,16,5120,bf16,T,N,15.07859,15.818743563336767,20.862215896844464,True
240,llama13bmatvec,hipblaslt,13824,1,5120,fp16,T,N,27.61639,0.9997324211546389,5.125860403912315,True
241,llama70bskinny,hipblaslt,8192,16,3584,fp16,T,N,14.19999,15.897976157471582,66.1637153265601,True
242,llama13bskinnybf16,hipblaslt,5120,4,3456,bf16,T,N,12.34783,3.9922603748519943,11.46418115571724,True
243,llama70bmatvec,hipblaslt,7168,1,8192,fp16,T,N,27.71137,0.9997384891647344,4.2379901101966455,True
244,llama13bskinnybf16,hipblaslt,3456,4,5120,bf16,T,N,16.23027,3.9922603748519943,8.721836420466202,True
245,llama13bskinny,hipblaslt,3840,32,5120,fp16,T,N,17.88059,31.540041067761805,70.37190607245061,True
246,llama13bskinny,hipblaslt,1920,32,5120,fp16,T,N,15.75534,31.283095723014256,39.93221345905578,True
247,llama70bskinny,hipblaslt,28672,16,8192,fp16,T,N,138.18876,15.959922070693015,54.39076787431916,True
248,llama70bskinnybf16,hipblaslt,57344,8,8192,bf16,T,N,278.41965999999996,7.9910813823857305,26.99591245819351,True
249,llama70bmatvecbf16,hipblaslt,5120,1,8192,bf16,T,N,23.11655,0.9996827178873893,3.628832157047656,True
250,llama70bskinny,hipblaslt,8192,4,1024,fp16,T,N,6.6844399999999995,3.982498784637822,10.039564122050614,True
251,llama13bmatvecbf16,hipblaslt,6912,1,5120,bf16,T,N,17.38193,0.9996601271269172,4.071980499288629,True
252,llama70bskinnybf16,hipblaslt,8192,32,4096,bf16,T,N,17.52441,31.62934362934363,122.54242214145869,True
253,llama13bskinny,hipblaslt,5120,2,5120,fp16,T,N,16.69331,1.9984387197501952,6.2814145307311735,True
254,llama70bskinnybf16,hipblaslt,8192,16,8192,bf16,T,N,39.64364,15.937743190661479,54.169688958935154,True
255,llama13bskinny,hipblaslt,15360,32,5120,fp16,T,N,42.86119,31.735537190082646,117.42942274817848,True
256,llama13bskinnybf16,hipblaslt,8000,32,5120,bf16,T,N,19.317220000000002,31.67532788913635,135.70482709209708,True
257,llama70bskinnybf16,hipblaslt,16000,2,8192,bf16,T,N,57.04931,1.9992619911790375,9.190084858169188,True
258,llama70bskinnybf16,hipblaslt,14336,16,8192,bf16,T,N,52.15768,15.95104311543811,72.05259865852929,True
259,compute,hipblaslt,4096,4096,8192,fp16,T,T,2754.91806,1638.4,99.77716249898191,True
260,llama13bskinny,hipblaslt,6912,2,5120,fp16,T,N,17.50066,1.998640970404962,8.088709797230504,True
261,llama70bmatvec,hipblaslt,8000,1,8192,fp16,T,N,28.36438,0.999752990716161,4.621007051802295,True
262,llama70bskinnybf16,hipblaslt,1280,8,8192,bf16,T,N,10.25819,7.942602288152027,16.35494760771637,True
263,unet,hipblaslt,2048,1280,1280,bf16,N,N,22.5229,487.6190476190476,297.9583623778465,True
264,llama70bmatvec,hipblaslt,8192,1,28672,fp16,T,N,147.86519,0.9998430770840235,3.1769617176294163,True
265,llama70bskinnybf16,hipblaslt,8192,4,7168,bf16,T,N,25.586119999999998,3.995819106682461,18.360034581249522,True
266,llama70bskinnybf16,hipblaslt,7168,4,8192,bf16,T,N,30.9408,3.995819106682461,15.182608335918916,True
267,llama13bmatvecbf16,hipblaslt,1920,1,5120,bf16,T,N,14.579930000000001,0.999284366664498,1.3484838404573958,True
268,llama13bmatvecbf16,hipblaslt,27648,1,5120,bf16,T,N,60.136269999999996,0.9997685720897941,4.707899575414305,True
269,llama70bskinnybf16,hipblaslt,8192,8,7168,bf16,T,N,25.88293,7.983293888347487,36.298985315804664,True
270,llama70bmatvecbf16,hipblaslt,8192,1,7168,bf16,T,N,24.90936,0.9997384891647344,4.714714147613588,True
271,llama70bmatvecbf16,hipblaslt,8192,1,14336,bf16,T,N,50.542970000000004,0.9998082120129022,4.647155163220523,True
272,llama13bskinny,hipblaslt,15360,4,5120,fp16,T,N,42.69497,3.995837669094693,14.73582485243578,True
273,llama70bmatvec,hipblaslt,8192,1,8192,fp16,T,N,29.74163,0.9997559189650964,4.512789917701215,True
274,llama13bskinnybf16,hipblaslt,5120,8,2560,bf16,T,N,10.04448,7.962674961119752,20.87865175698493,True
275,llama70bskinny,hipblaslt,4000,2,8192,fp16,T,N,22.9622,1.9985128254170237,5.708163851895725,True
276,unet,hipblaslt,2048,1280,5120,fp16,T,N,71.54614,682.6666666666666,375.1920872320995,True
277,llama70bskinny,hipblaslt,8192,8,1024,fp16,T,N,6.85067,7.930300096805421,19.591912615846333,True
278,llama13bskinny,hipblaslt,5120,8,5120,fp16,T,N,17.16822,7.975077881619938,24.430628218883495,True
279,llama13bmatvec,hipblaslt,5120,1,640,fp16,T,N,6.17391,0.9982452719828426,1.0614991148235073,True
280,llama70bskinny,hipblaslt,8192,8,4096,fp16,T,N,17.57191,7.976630963972736,30.552792041388788,True
281,llama13bskinnybf16,hipblaslt,27648,4,5120,bf16,T,N,60.63494,3.996299722479186,18.676724673925627,True
282,llama13bmatvecbf16,hipblaslt,5120,1,640,bf16,T,N,5.99582,0.9982452719828426,1.0930281429395814,True
283,llama13bskinnybf16,hipblaslt,5120,4,6912,bf16,T,N,21.24063,3.9945675730343573,13.328960581677663,True
