index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,mean_microseconds,arithmetic_intensity,tflops,ok
98,llama13bskinny,gemm_27648_16_5120_f16_f32_tA,b4d4b9091d9eb6489b29e3e8ec653970,27648,16,5120,f16,T,N,120.0,15.941,37.7487,True
99,llama13bskinny,gemm_27648_32_5120_f16_f32_tA,5b226fc1e47a182564c516b1d4851a11,27648,32,5120,f16,T,N,126.0,31.7647,71.9024,True
100,llama13bskinny,gemm_5120_2_13824_f16_f32_tA,94527e7b0a852e9a1f384a31383a9b73,5120,2,13824,f16,T,N,2000.0,1.9989,0.1416,True
101,llama13bskinny,gemm_5120_4_13824_f16_f32_tA,ca3a7b51ad8a901aefa0070f10cd408c,5120,4,13824,f16,T,N,4030.0,3.9957,0.1405,True
102,llama13bskinny,gemm_5120_8_13824_f16_f32_tA,63a2d5196796e9e14a628af6d3f294a5,5120,8,13824,f16,T,N,4990.0,7.9829,0.2269,True
103,llama13bskinny,gemm_5120_16_13824_f16_f32_tA,09c0e87d6684d6c891113b914ecf2cbd,5120,16,13824,f16,T,N,187.0,15.9318,12.1119,True
104,llama13bskinny,gemm_5120_32_13824_f16_f32_tA,e9826baed3d09784c5dc2d3871f1bf69,5120,32,13824,f16,T,N,188.0,31.7283,24.0949,True
105,llama13bskinny,gemm_16000_2_5120_f16_f32_tA,3a8f6ea31e39640fa94ce4902091d389,16000,2,5120,f16,T,N,2220.0,1.999,0.1476,True
106,llama13bskinny,gemm_16000_4_5120_f16_f32_tA,999dcc7457517960fe724e90b006aac6,16000,4,5120,f16,T,N,3480.0,3.9959,0.1883,True
107,llama13bskinny,gemm_16000_8_5120_f16_f32_tA,f4054b261913d5bd991902d8691ec8bd,16000,8,5120,f16,T,N,1960.0,7.9835,0.6687,True
108,llama13bskinny,gemm_16000_16_5120_f16_f32_tA,4b1e6a44727b8788f4eb6cacbd8719c0,16000,16,5120,f16,T,N,104.0,15.9343,25.2062,True
109,llama13bskinny,gemm_16000_32_5120_f16_f32_tA,4851a0fa8e59d718efd555ea8055a906,16000,32,5120,f16,T,N,97.0,31.7382,54.0503,True
110,llama13bskinny,gemm_7680_2_5120_f16_f32_tA,b6bd0fb67c439d4b4d25fdd91f7525df,7680,2,5120,f16,T,N,861.0,1.9987,0.1827,True
111,llama13bskinny,gemm_7680_4_5120_f16_f32_tA,06326587766229d8a46bf46ca41d786d,7680,4,5120,f16,T,N,1550.0,3.9948,0.203,True
112,llama13bskinny,gemm_7680_8_5120_f16_f32_tA,e22859e8a6c1d73810166dc5f50eb48e,7680,8,5120,f16,T,N,1950.0,7.9792,0.3226,True
113,llama13bskinny,gemm_7680_16_5120_f16_f32_tA,62406d55d02573307460921424d66003,7680,16,5120,f16,T,N,102.0,15.9171,12.3362,True
114,llama13bskinny,gemm_7680_32_5120_f16_f32_tA,22ded65e35a3adcecb7616bc7d4e2694,7680,32,5120,f16,T,N,111.0,31.6701,22.6719,True
115,llama13bskinny,gemm_5120_2_2560_f16_f32_tA,696822857ee428357ecc7f5189001bef,5120,2,2560,f16,T,N,275.0,1.9977,0.1907,True
116,llama13bskinny,gemm_5120_4_2560_f16_f32_tA,3bd31bcf1d883dfbc477c9cf0366d4a4,5120,4,2560,f16,T,N,508.0,3.9906,0.2064,True
117,llama13bskinny,gemm_5120_8_2560_f16_f32_tA,862c33f32b7692db473a29dfbc2f9443,5120,8,2560,f16,T,N,969.0,7.9627,0.2164,True
118,llama13bskinny,gemm_5120_16_2560_f16_f32_tA,4100b0cccf2d20591e72d64cc82d5cdd,5120,16,2560,f16,T,N,73.0,15.8514,5.7456,True
119,llama13bskinny,gemm_5120_32_2560_f16_f32_tA,a16e3875c853e14dc38f24a45ec87de6,5120,32,2560,f16,T,N,72.0,31.411,11.6508,True
120,llama13bskinny,gemm_13824_2_5120_f16_f32_tA,4d133979e54730e4635aabdca396a89d,13824,2,5120,f16,T,N,1830.0,1.9989,0.1547,True
121,llama13bskinny,gemm_13824_4_5120_f16_f32_tA,c90394a05dc8bc82e593dfc962b1770c,13824,4,5120,f16,T,N,2950.0,3.9957,0.1919,True
122,llama13bskinny,gemm_13824_8_5120_f16_f32_tA,9189586be2b9d8b00d37aedcc74e4c78,13824,8,5120,f16,T,N,1940.0,7.9829,0.5837,True
